product_id,product_name,brand,category,net_revenue_total,estimated_margin_total,return_rate,return_reason_top,false_winner_flag
P00102,Moya Women Shoes Item 660,Moya,Women Shoes,30818.13,12863.94,0.23529411764705882,size,True
P00012,LunaRidge Women Shoes Item 261,LunaRidge,Women Shoes,28467.43,7831.929999999999,0.35714285714285715,damaged,True
P00004,LunaRidge Women Shoes Item 269,LunaRidge,Women Shoes,22399.78,11266.48,0.25,quality,True
P00109,Aurelia Women Shoes Item 998,Aurelia,Women Shoes,20221.199999999997,6135.96,0.2,size,True
P00125,Aurelia Women Shoes Item 269,Aurelia,Women Shoes,16085.81,6315.53,0.1875,size,True
P00075,Nord & Field Women Shoes Item 273,Nord & Field,Women Shoes,14841.56,6927.11,0.18181818181818182,damaged,True
P00066,Stone&Salt Women Shoes Item 334,Stone&Salt,Women Shoes,13770.49,4423.09,0.2857142857142857,size,True
P00119,Rivermark Women Shoes Item 580,Rivermark,Women Shoes,12890.77,3107.6200000000003,0.2,not_as_expected,True
P00155,Rivermark Women Shoes Item 445,Rivermark,Women Shoes,12764.94,4197.74,0.2,quality,True
P00081,Aurelia Women Shoes Item 760,Aurelia,Women Shoes,39885.04,9256.28,0.11764705882352941,not_as_expected,False
P00126,Rivermark Women Shoes Item 274,Rivermark,Women Shoes,28096.329999999998,7927.21,0.0,none,False
P00065,Aurelia Women Shoes Item 361,Aurelia,Women Shoes,25440.92,9962.119999999999,0.14285714285714285,quality,False
P00116,Stone&Salt Women Shoes Item 366,Stone&Salt,Women Shoes,25142.86,8051.02,0.0625,quality,False
P00057,Aurelia Women Shoes Item 669,Aurelia,Women Shoes,24421.19,10345.279999999999,0.05555555555555555,quality,False
P00123,Stone&Salt Women Shoes Item 94,Stone&Salt,Women Shoes,23436.22,13488.88,0.16666666666666666,not_as_expected,False
P00170,Bright & Co Women Shoes Item 788,Bright & Co,Women Shoes,22805.54,8870.57,0.0,none,False
P00139,Stone&Salt Women Shoes Item 429,Stone&Salt,Women Shoes,20781.09,9684.09,0.15384615384615385,not_as_expected,False
P00138,VeldStudio Women Shoes Item 870,VeldStudio,Women Shoes,20774.93,6059.79,0.058823529411764705,size,False
P00047,LunaRidge Women Shoes Item 50,LunaRidge,Women Shoes,20663.0,5124.96,0.07692307692307693,size,False
P00083,VeldStudio Women Shoes Item 497,VeldStudio,Women Shoes,19791.54,6680.610000000001,0.125,size,False
P00147,SableWorks Women Shoes Item 869,SableWorks,Women Shoes,19560.559999999998,8877.16,0.07142857142857142,size,False
P00029,CopperLane Women Shoes Item 141,CopperLane,Women Shoes,19224.46,8185.389999999999,0.1,not_as_expected,False
P00200,KayaCo Men Tees Item 362,KayaCo,Men Tees,17465.1,4730.55,0.041666666666666664,quality,False
P00103,Stone&Salt Women Shoes Item 649,Stone&Salt,Women Shoes,16941.03,7963.4400000000005,0.09090909090909091,not_as_expected,False
P00093,VeldStudio Women Shoes Item 234,VeldStudio,Women Shoes,16444.22,5973.469999999999,0.07692307692307693,size,False
P00120,SableWorks Women Shoes Item 338,SableWorks,Women Shoes,16298.67,4017.83,0.0,none,False
P00186,LunaRidge Women Shoes Item 597,LunaRidge,Women Shoes,15628.380000000001,5101.74,0.0,none,False
P00051,Bright & Co Accessories Item 24,Bright & Co,Accessories,15163.31,4431.110000000001,0.13333333333333333,not_as_expected,False
P00163,KayaCo Women Shoes Item 787,KayaCo,Women Shoes,15156.39,8829.19,0.0,none,False
P00080,VeldStudio Women Shoes Item 427,VeldStudio,Women Shoes,14774.470000000001,8630.630000000001,0.07692307692307693,size,False
P00124,Noma Women Shoes Item 515,Noma,Women Shoes,14750.29,4658.93,0.0,none,False
P00112,Moya Women Shoes Item 479,Moya,Women Shoes,14747.66,6264.46,0.07692307692307693,size,False
P00149,Aurelia Kids Item 198,Aurelia,Kids,14356.64,3952.62,0.11764705882352941,size,False
P00014,Moya Women Shoes Item 970,Moya,Women Shoes,13701.44,4478.45,0.15384615384615385,damaged,False
P00010,SableWorks Women Shoes Item 834,SableWorks,Women Shoes,13524.880000000001,4630.06,0.0,none,False
P00142,Nord & Field Home Item 768,Nord & Field,Home,13110.48,6165.36,0.1111111111111111,quality,False
P00197,SableWorks Women Shoes Item 98,SableWorks,Women Shoes,13081.75,5915.11,0.0,none,False
P00011,Moya Accessories Item 344,Moya,Accessories,12420.76,4156.259999999999,0.0,none,False
P00003,Rivermark Women Shoes Item 891,Rivermark,Women Shoes,12411.89,3008.2999999999997,0.0,none,False
P00072,Bright & Co Women Shoes Item 676,Bright & Co,Women Shoes,12234.66,3573.8399999999997,0.08333333333333333,size,False
P00100,Noma Women Shoes Item 556,Noma,Women Shoes,11909.37,3108.09,0.125,size,False
P00194,CopperLane Kids Item 850,CopperLane,Kids,11701.68,5324.73,0.058823529411764705,size,False
P00196,Rivermark Women Shoes Item 824,Rivermark,Women Shoes,11434.45,2612.17,0.0,none,False
P00097,Noma Men Tees Item 766,Noma,Men Tees,11334.89,3466.89,0.1111111111111111,damaged,False
P00190,KayaCo Women Shoes Item 482,KayaCo,Women Shoes,11229.19,6216.42,0.0,none,False
P00107,SableWorks Accessories Item 854,SableWorks,Accessories,11171.88,2990.76,0.0,none,False
P00008,Nord & Field Men Tees Item 916,Nord & Field,Men Tees,11080.61,2807.95,0.0,none,False
P00036,KayaCo Women Shoes Item 897,KayaCo,Women Shoes,10983.93,4536.06,0.16666666666666666,quality,False
P00175,VeldStudio Men Tees Item 953,VeldStudio,Men Tees,10761.66,2713.0,0.05555555555555555,damaged,False
P00183,CopperLane Women Shoes Item 472,CopperLane,Women Shoes,10716.32,4467.44,0.0,none,False
P00160,Aurelia Kids Item 695,Aurelia,Kids,10678.82,3220.6,0.0,none,False
P00168,Aurelia Home Item 816,Aurelia,Home,10379.58,5064.18,0.09090909090909091,damaged,False
P00043,Stone&Salt Women Shoes Item 984,Stone&Salt,Women Shoes,10037.61,5208.610000000001,0.0,none,False
P00129,LunaRidge Women Shoes Item 118,LunaRidge,Women Shoes,9816.2,2493.7999999999997,0.1111111111111111,quality,False
P00184,Rivermark Men Tees Item 916,Rivermark,Men Tees,9702.58,4204.3,0.125,not_as_expected,False
P00090,Bright & Co Home Item 533,Bright & Co,Home,9667.63,5203.15,0.0,none,False
P00122,CopperLane Kids Item 185,CopperLane,Kids,9520.289999999999,2454.09,0.0,none,False
P00162,Moya Men Tees Item 985,Moya,Men Tees,9285.37,4026.22,0.0,none,False
P00114,CopperLane Kids Item 912,CopperLane,Kids,9131.880000000001,3889.2799999999997,0.08333333333333333,not_as_expected,False
P00128,Nord & Field Accessories Item 157,Nord & Field,Accessories,9127.06,2729.2799999999997,0.0,none,False
P00193,SableWorks Women Shoes Item 677,SableWorks,Women Shoes,8904.51,3511.31,0.3,damaged,False
P00141,KayaCo Home Item 493,KayaCo,Home,8897.77,2967.4900000000002,0.1,damaged,False
P00082,Noma Beauty Item 217,Noma,Beauty,8876.99,3585.9900000000002,0.05555555555555555,damaged,False
P00007,KayaCo Kids Item 113,KayaCo,Kids,8844.5,4485.86,0.15384615384615385,damaged,False
P00156,LunaRidge Beauty Item 664,LunaRidge,Beauty,8839.630000000001,4418.78,0.047619047619047616,quality,False
P00067,KayaCo Home Item 682,KayaCo,Home,8832.99,4923.59,0.2222222222222222,size,False
P00017,SableWorks Women Shoes Item 573,SableWorks,Women Shoes,8705.33,1983.5700000000002,0.25,not_as_expected,False
P00091,KayaCo Home Item 441,KayaCo,Home,8594.27,2816.94,0.16666666666666666,quality,False
P00074,SableWorks Women Shoes Item 745,SableWorks,Women Shoes,8573.9,4632.96,0.0,none,False
P00198,VeldStudio Men Tees Item 438,VeldStudio,Men Tees,8186.53,4153.25,0.07142857142857142,not_as_expected,False
P00063,Nord & Field Men Tees Item 411,Nord & Field,Men Tees,8156.1900000000005,2014.23,0.0,none,False
P00016,CopperLane Beauty Item 415,CopperLane,Beauty,8125.27,1618.99,0.0,none,False
P00165,Rivermark Accessories Item 856,Rivermark,Accessories,8074.33,2606.4700000000003,0.09090909090909091,not_as_expected,False
P00088,SableWorks Accessories Item 415,SableWorks,Accessories,8015.08,3226.6,0.2,size,False
P00118,SableWorks Kids Item 193,SableWorks,Kids,7990.11,3911.44,0.13333333333333333,not_as_expected,False
P00058,Noma Kids Item 871,Noma,Kids,7964.8,2989.84,0.08333333333333333,not_as_expected,False
P00001,Moya Women Shoes Item 73,Moya,Women Shoes,7924.29,4051.4400000000005,0.0,none,False
P00108,CopperLane Men Tees Item 73,CopperLane,Men Tees,7813.37,2009.45,0.07142857142857142,not_as_expected,False
P00161,KayaCo Women Shoes Item 378,KayaCo,Women Shoes,7754.99,3759.09,0.0,none,False
P00048,Rivermark Kids Item 413,Rivermark,Kids,7728.950000000001,4056.68,0.07142857142857142,not_as_expected,False
P00117,Aurelia Beauty Item 619,Aurelia,Beauty,7652.99,1638.73,0.0,none,False
P00166,Rivermark Men Tees Item 324,Rivermark,Men Tees,7623.19,1812.23,0.125,quality,False
P00181,Stone&Salt Beauty Item 251,Stone&Salt,Beauty,7585.799999999999,3491.63,0.0,none,False
P00199,Noma Men Tees Item 755,Noma,Men Tees,7415.17,3128.68,0.13333333333333333,quality,False
P00192,Aurelia Accessories Item 371,Aurelia,Accessories,7292.129999999999,2935.33,0.1,not_as_expected,False
P00146,Aurelia Women Shoes Item 156,Aurelia,Women Shoes,7233.65,1693.15,0.0,none,False
P00045,Stone&Salt Men Tees Item 124,Stone&Salt,Men Tees,7052.75,3994.55,0.0,none,False
P00174,SableWorks Accessories Item 931,SableWorks,Accessories,6992.86,3530.5899999999997,0.08333333333333333,quality,False
P00050,KayaCo Women Shoes Item 718,KayaCo,Women Shoes,6986.95,1520.8899999999999,0.0,none,False
P00111,CopperLane Accessories Item 373,CopperLane,Accessories,6909.0599999999995,3877.79,0.14285714285714285,size,False
P00105,Aurelia Accessories Item 428,Aurelia,Accessories,6729.1900000000005,3433.23,0.0,none,False
P00094,LunaRidge Accessories Item 29,LunaRidge,Accessories,6669.25,1916.3899999999999,0.2222222222222222,not_as_expected,False
P00046,Bright & Co Kids Item 318,Bright & Co,Kids,6539.98,2781.82,0.18181818181818182,not_as_expected,False
P00151,Rivermark Home Item 473,Rivermark,Home,6505.71,1870.8700000000001,0.0,none,False
P00148,CopperLane Home Item 900,CopperLane,Home,6402.48,2418.96,0.0,none,False
P00018,Noma Home Item 850,Noma,Home,6388.36,1766.47,0.0,none,False
P00140,Stone&Salt Home Item 950,Stone&Salt,Home,6364.02,3151.44,0.0,none,False
P00039,Noma Home Item 462,Noma,Home,6155.83,2065.26,0.0,none,False
P00110,SableWorks Men Tees Item 819,SableWorks,Men Tees,6107.07,1793.6699999999998,0.06666666666666667,size,False
P00005,Bright & Co Accessories Item 488,Bright & Co,Accessories,5997.59,3225.79,0.16666666666666666,not_as_expected,False
P00159,KayaCo Accessories Item 76,KayaCo,Accessories,5978.96,1841.8400000000001,0.1111111111111111,size,False
P00070,Stone&Salt Accessories Item 534,Stone&Salt,Accessories,5948.32,2602.89,0.0,none,False
P00178,Aurelia Beauty Item 976,Aurelia,Beauty,5876.26,2710.93,0.14285714285714285,quality,False
P00055,KayaCo Accessories Item 47,KayaCo,Accessories,5852.04,3209.2400000000002,0.1111111111111111,quality,False
P00169,Nord & Field Home Item 11,Nord & Field,Home,5774.04,1914.14,0.14285714285714285,quality,False
P00035,LunaRidge Kids Item 801,LunaRidge,Kids,5750.27,3063.87,0.0,none,False
P00032,LunaRidge Accessories Item 845,LunaRidge,Accessories,5694.719999999999,2662.51,0.0,none,False
P00180,SableWorks Beauty Item 379,SableWorks,Beauty,5688.3,1935.1799999999998,0.0,none,False
P00131,SableWorks Accessories Item 735,SableWorks,Accessories,5675.42,3130.46,0.0,none,False
P00134,SableWorks Accessories Item 293,SableWorks,Accessories,5473.59,2000.31,0.125,size,False
P00015,Rivermark Beauty Item 646,Rivermark,Beauty,5443.0,1567.44,0.0,none,False
P00089,CopperLane Accessories Item 883,CopperLane,Accessories,5426.91,3185.31,0.0,none,False
P00059,CopperLane Beauty Item 378,CopperLane,Beauty,5404.889999999999,2579.9700000000003,0.21428571428571427,size,False
P00086,CopperLane Kids Item 645,CopperLane,Kids,5399.65,2882.71,0.25,damaged,False
P00078,CopperLane Men Tees Item 907,CopperLane,Men Tees,5372.37,2454.07,0.08333333333333333,size,False
P00076,Bright & Co Accessories Item 507,Bright & Co,Accessories,5278.92,2574.12,0.0,none,False
P00173,Aurelia Women Shoes Item 534,Aurelia,Women Shoes,5268.969999999999,1874.37,0.5,size,False
P00062,LunaRidge Beauty Item 643,LunaRidge,Beauty,5226.21,2011.04,0.16666666666666666,damaged,False
P00158,Moya Men Tees Item 420,Moya,Men Tees,5220.14,2401.39,0.058823529411764705,size,False
P00144,Noma Men Tees Item 890,Noma,Men Tees,5142.65,2636.15,0.07692307692307693,size,False
P00026,Nord & Field Kids Item 128,Nord & Field,Kids,5101.59,1329.33,0.2,not_as_expected,False
P00092,Aurelia Men Tees Item 764,Aurelia,Men Tees,5035.66,1777.73,0.125,size,False
P00079,Noma Kids Item 386,Noma,Kids,5020.03,2690.65,0.1,size,False
P00188,Stone&Salt Accessories Item 519,Stone&Salt,Accessories,4978.69,2183.65,0.0,none,False
P00176,Aurelia Home Item 500,Aurelia,Home,4941.07,1795.98,0.0,none,False
P00143,Nord & Field Accessories Item 316,Nord & Field,Accessories,4880.2,2109.32,0.125,size,False
P00085,Aurelia Men Tees Item 728,Aurelia,Men Tees,4878.56,1556.54,0.0,none,False
P00099,KayaCo Kids Item 546,KayaCo,Kids,4876.96,1280.08,0.125,not_as_expected,False
P00153,Noma Beauty Item 492,Noma,Beauty,4832.37,1684.17,0.0,none,False
P00060,SableWorks Men Tees Item 340,SableWorks,Men Tees,4825.82,1448.81,0.0,none,False
P00101,Aurelia Men Tees Item 240,Aurelia,Men Tees,4774.429999999999,1395.71,0.1111111111111111,quality,False
P00053,Noma Beauty Item 774,Noma,Beauty,4656.83,1480.73,0.0,none,False
P00054,VeldStudio Accessories Item 452,VeldStudio,Accessories,4653.86,1153.48,0.08333333333333333,size,False
P00030,Bright & Co Accessories Item 124,Bright & Co,Accessories,4423.66,2136.76,0.16666666666666666,size,False
P00189,LunaRidge Beauty Item 549,LunaRidge,Beauty,4404.99,1457.49,0.0625,size,False
P00150,Bright & Co Kids Item 189,Bright & Co,Kids,4382.09,1937.67,0.0,none,False
P00037,Nord & Field Men Tees Item 283,Nord & Field,Men Tees,4382.01,1812.3300000000002,0.07142857142857142,quality,False
P00002,Nord & Field Men Tees Item 74,Nord & Field,Men Tees,4378.59,2240.85,0.0,none,False
P00096,LunaRidge Men Tees Item 278,LunaRidge,Men Tees,4375.66,1017.43,0.0,none,False
P00040,Aurelia Home Item 981,Aurelia,Home,4372.7,1767.1299999999999,0.0,none,False
P00025,Noma Accessories Item 560,Noma,Accessories,4351.5599999999995,1462.74,0.0,none,False
P00187,Aurelia Kids Item 616,Aurelia,Kids,4323.01,2373.8,0.1,quality,False
P00084,Noma Accessories Item 201,Noma,Accessories,4317.49,1189.17,0.0,none,False
P00132,Rivermark Beauty Item 856,Rivermark,Beauty,4295.52,1578.3,0.0,none,False
P00021,Moya Beauty Item 440,Moya,Beauty,4235.03,2428.19,0.15384615384615385,size,False
P00069,Noma Beauty Item 704,Noma,Beauty,4198.99,1394.6000000000001,0.07142857142857142,quality,False
P00064,LunaRidge Kids Item 151,LunaRidge,Kids,4146.06,1627.7,0.26666666666666666,quality,False
P00019,Nord & Field Beauty Item 478,Nord & Field,Beauty,4015.22,2121.62,0.0,none,False
P00006,KayaCo Accessories Item 576,KayaCo,Accessories,3994.7200000000003,1611.84,0.0,none,False
P00115,Bright & Co Beauty Item 325,Bright & Co,Beauty,3861.92,2050.23,0.0,none,False
P00136,SableWorks Women Shoes Item 294,SableWorks,Women Shoes,3846.74,1127.42,0.0,none,False
P00009,KayaCo Beauty Item 110,KayaCo,Beauty,3774.3,936.14,0.1111111111111111,quality,False
P00095,LunaRidge Kids Item 265,LunaRidge,Kids,3723.77,889.3699999999999,0.0,none,False
P00133,SableWorks Beauty Item 852,SableWorks,Beauty,3627.71,908.62,0.0,none,False
P00157,Bright & Co Beauty Item 306,Bright & Co,Beauty,3608.33,1177.79,0.0,none,False
P00145,Stone&Salt Men Tees Item 907,Stone&Salt,Men Tees,3569.3,1244.3,0.09090909090909091,size,False
P00137,CopperLane Accessories Item 44,CopperLane,Accessories,3525.95,1292.81,0.0,none,False
P00077,SableWorks Home Item 389,SableWorks,Home,3520.89,1669.04,0.0,none,False
P00071,Nord & Field Home Item 770,Nord & Field,Home,3470.57,1724.07,0.1111111111111111,damaged,False
P00068,Nord & Field Beauty Item 206,Nord & Field,Beauty,3397.99,1296.1100000000001,0.08333333333333333,not_as_expected,False
P00024,CopperLane Men Tees Item 277,CopperLane,Men Tees,3358.1499999999996,922.42,0.1,size,False
P00130,VeldStudio Men Tees Item 312,VeldStudio,Men Tees,3268.06,1660.58,0.05263157894736842,size,False
P00073,VeldStudio Beauty Item 405,VeldStudio,Beauty,3239.3,1590.5,0.0,none,False
P00098,VeldStudio Women Shoes Item 260,VeldStudio,Women Shoes,3161.98,1609.8000000000002,0.0,none,False
P00033,Nord & Field Men Tees Item 545,Nord & Field,Men Tees,3133.71,1074.51,0.0,none,False
P00041,Stone&Salt Men Tees Item 287,Stone&Salt,Men Tees,3107.79,910.71,0.09090909090909091,size,False
P00013,Rivermark Beauty Item 387,Rivermark,Beauty,3056.63,1682.53,0.0,none,False
P00104,Moya Men Tees Item 140,Moya,Men Tees,3007.65,749.15,0.2857142857142857,size,False
P00171,Stone&Salt Beauty Item 472,Stone&Salt,Beauty,2901.47,884.21,0.2,size,False
P00027,Noma Beauty Item 515,Noma,Beauty,2887.5,1571.64,0.1,size,False
P00038,SableWorks Home Item 338,SableWorks,Home,2874.29,1373.4499999999998,0.125,size,False
P00049,Moya Accessories Item 988,Moya,Accessories,2788.29,1386.0,0.16666666666666666,quality,False
P00172,Nord & Field Accessories Item 446,Nord & Field,Accessories,2774.3199999999997,871.9000000000001,0.0,none,False
P00167,Noma Men Tees Item 412,Noma,Men Tees,2681.92,1430.52,0.15384615384615385,size,False
P00154,Aurelia Men Tees Item 439,Aurelia,Men Tees,2670.08,1535.03,0.21428571428571427,size,False
P00195,VeldStudio Home Item 224,VeldStudio,Home,2562.04,1078.44,0.0,none,False
P00056,VeldStudio Beauty Item 720,VeldStudio,Beauty,2535.38,939.62,0.14285714285714285,size,False
P00164,SableWorks Beauty Item 925,SableWorks,Beauty,2517.39,910.89,0.0,none,False
P00177,Aurelia Kids Item 383,Aurelia,Kids,2492.68,1113.08,0.15384615384615385,not_as_expected,False
P00023,SableWorks Men Tees Item 667,SableWorks,Men Tees,2434.23,1263.07,0.09090909090909091,not_as_expected,False
P00182,Moya Men Tees Item 603,Moya,Men Tees,2364.36,1350.16,0.0,none,False
P00152,Stone&Salt Accessories Item 925,Stone&Salt,Accessories,2330.8199999999997,554.14,0.0,none,False
P00135,Nord & Field Men Tees Item 436,Nord & Field,Men Tees,2325.7599999999998,925.24,0.0,none,False
P00106,Aurelia Home Item 74,Aurelia,Home,2302.84,1016.6800000000001,0.0,none,False
P00052,Nord & Field Women Shoes Item 716,Nord & Field,Women Shoes,2255.06,322.46000000000004,0.0,none,False
P00087,Rivermark Men Tees Item 268,Rivermark,Men Tees,2151.52,958.92,0.0,none,False
P00179,Bright & Co Beauty Item 249,Bright & Co,Beauty,2081.93,524.11,0.18181818181818182,damaged,False
P00113,KayaCo Home Item 925,KayaCo,Home,2071.98,496.83,0.0,none,False
P00127,CopperLane Men Tees Item 770,CopperLane,Men Tees,1975.99,676.64,0.0,none,False
P00031,Stone&Salt Kids Item 594,Stone&Salt,Kids,1907.22,765.9,0.0,none,False
P00020,Stone&Salt Home Item 375,Stone&Salt,Home,1819.42,505.27,0.0,none,False
P00034,Noma Accessories Item 765,Noma,Accessories,1750.16,880.48,0.0,none,False
P00022,VeldStudio Women Shoes Item 420,VeldStudio,Women Shoes,1687.46,903.82,0.07692307692307693,size,False
P00044,SableWorks Beauty Item 198,SableWorks,Beauty,1599.51,556.79,0.2,quality,False
P00028,Stone&Salt Beauty Item 496,Stone&Salt,Beauty,1473.7,753.2,0.16666666666666666,size,False
P00042,Noma Men Tees Item 352,Noma,Men Tees,1124.38,320.74,0.3333333333333333,not_as_expected,False
P00191,Aurelia Beauty Item 547,Aurelia,Beauty,1123.29,400.04999999999995,0.0,none,False
P00061,Moya Accessories Item 581,Moya,Accessories,870.54,324.59000000000003,0.3333333333333333,quality,False
P00121,Aurelia Beauty Item 506,Aurelia,Beauty,724.0899999999999,388.58,0.0,none,False
P00185,Aurelia Home Item 148,Aurelia,Home,682.15,345.28,0.0,none,False
